,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
1MeCfKzBxdtQ2bZViMR7UC,0.0739,https://api.spotify.com/v1/audio-analysis/1MeCfKzBxdtQ2bZViMR7UC,0.616,272783,0.637,1MeCfKzBxdtQ2bZViMR7UC,0,9,-8.143,1,0.38,79.463,4,https://api.spotify.com/v1/tracks/1MeCfKzBxdtQ2bZViMR7UC,audio_features,spotify:track:1MeCfKzBxdtQ2bZViMR7UC,0.435,,1,0.169
4vYwwX7cKQVpO2nKhO5wFb,0.583,https://api.spotify.com/v1/audio-analysis/4vYwwX7cKQVpO2nKhO5wFb,0.744,230356,0.676,4vYwwX7cKQVpO2nKhO5wFb,4.51e-05,6,-6.962,1,0.0775,95.288,3,https://api.spotify.com/v1/tracks/4vYwwX7cKQVpO2nKhO5wFb,audio_features,spotify:track:4vYwwX7cKQVpO2nKhO5wFb,0.598,,1,0.339
72vRgf0oI9DQgyNMcB4qOB,0.0924,https://api.spotify.com/v1/audio-analysis/72vRgf0oI9DQgyNMcB4qOB,0.821,252861,0.622,72vRgf0oI9DQgyNMcB4qOB,0.000197,11,-7.001,0,0.0779,115.962,4,https://api.spotify.com/v1/tracks/72vRgf0oI9DQgyNMcB4qOB,audio_features,spotify:track:72vRgf0oI9DQgyNMcB4qOB,0.611,,1,0.0864
08bymSahrAUpabFR6YSiy9,0.305,https://api.spotify.com/v1/audio-analysis/08bymSahrAUpabFR6YSiy9,0.61,198880,0.369,08bymSahrAUpabFR6YSiy9,0,11,-10.844,1,0.421,110.254,4,https://api.spotify.com/v1/tracks/08bymSahrAUpabFR6YSiy9,audio_features,spotify:track:08bymSahrAUpabFR6YSiy9,0.497,,1,0.271
4K1J4jNVi02rBWxTtTa4U1,0.907,https://api.spotify.com/v1/audio-analysis/4K1J4jNVi02rBWxTtTa4U1,0.553,206415,0.616,4K1J4jNVi02rBWxTtTa4U1,0,2,-6.08,1,0.32,81.608,4,https://api.spotify.com/v1/tracks/4K1J4jNVi02rBWxTtTa4U1,audio_features,spotify:track:4K1J4jNVi02rBWxTtTa4U1,0.324,,1,0.0773
1xzhH5co9UEnwADrjPtyfz,0.601,https://api.spotify.com/v1/audio-analysis/1xzhH5co9UEnwADrjPtyfz,0.746,195880,0.747,1xzhH5co9UEnwADrjPtyfz,0.000496,5,-6.021,0,0.108,89.965,4,https://api.spotify.com/v1/tracks/1xzhH5co9UEnwADrjPtyfz,audio_features,spotify:track:1xzhH5co9UEnwADrjPtyfz,0.608,,1,0.0959
3paHqKGUBNsSOPFozhQzVR,0.288,https://api.spotify.com/v1/audio-analysis/3paHqKGUBNsSOPFozhQzVR,0.906,178440,0.543,3paHqKGUBNsSOPFozhQzVR,2.55e-06,5,-5.892,1,0.108,100.02,4,https://api.spotify.com/v1/tracks/3paHqKGUBNsSOPFozhQzVR,audio_features,spotify:track:3paHqKGUBNsSOPFozhQzVR,0.822,,1,0.0897
71lyUtIPCMAYjTwwwxy2jW,0.532,https://api.spotify.com/v1/audio-analysis/71lyUtIPCMAYjTwwwxy2jW,0.667,232571,0.523,71lyUtIPCMAYjTwwwxy2jW,2.12e-05,10,-9.477,0,0.329,143.934,4,https://api.spotify.com/v1/tracks/71lyUtIPCMAYjTwwwxy2jW,audio_features,spotify:track:71lyUtIPCMAYjTwwwxy2jW,0.409,,1,0.137
66wkCYWlXzSTQAfnsPBptt,0.627,https://api.spotify.com/v1/audio-analysis/66wkCYWlXzSTQAfnsPBptt,0.861,216000,0.33,66wkCYWlXzSTQAfnsPBptt,1.93e-06,6,-7.194,1,0.0526,95.016,4,https://api.spotify.com/v1/tracks/66wkCYWlXzSTQAfnsPBptt,audio_features,spotify:track:66wkCYWlXzSTQAfnsPBptt,0.718,,1,0.14
2L9mXwt6vJ3FxVxf7jsGkd,0.325,https://api.spotify.com/v1/audio-analysis/2L9mXwt6vJ3FxVxf7jsGkd,0.665,181368,0.409,2L9mXwt6vJ3FxVxf7jsGkd,1.29e-05,0,-10.037,1,0.787,151.355,4,https://api.spotify.com/v1/tracks/2L9mXwt6vJ3FxVxf7jsGkd,audio_features,spotify:track:2L9mXwt6vJ3FxVxf7jsGkd,0.296,,1,0.0747
